"December 06, 2014 at 04:17AM","December 06, 2014 at 10:50AM",6h 22m,22929,2h 57m,10620,43.26%,3h 25m,12309,50.14%,26m,1618,6.59%,
"December 06, 2014 at 11:49PM","December 07, 2014 at 09:15AM",8h 56m,32177,3h 34m,12871,36.28%,5h 21m,19306,54.42%,55m,3301,9.30%,
